song_code,song_name,artist_name,artist2_name
s0837,"Rescue Story","Zach Williams",
s0751,Revenge,"Joyner Lucas",
s0723,"Rich Flex","Rich Flex",
s0663,"Richard Millie Plain",Gunna,
s0595,RICO,"Meek Mill",
s0077,"Rico De Cuna","Aposento Alto",
s0254,"Ride the Lightning",Metallica,
s0804,"Ride The Lightning","Warren Zeiders",
s0786,"Ride Wit Me",Nelly,"City Spud"
s0591,"Rie & Llora","Celia Cruz",
s0227,Rise,"Hans Zimmer",
s0798,"River of Life","Mac Powell",
s0875,"Rock and Roll Band",Boston,
s0797,"Rock of Ages","Def Leppard",
s0314,"Rocky Road Pt. 2","Caleb Gordon",
s0779,rodman,Mike.,
s0073,"Rolex® On A Redneck","Brantley Gilbert",
s0512,Rollin,"Calvin Harris",
s0571,Rooster,"Alice In Chains",
s0572,"Rosa Parks",Outkast,
s0356,Roses,"SAINt JNH",Future
s0657,"Rulay & Pica Pollo","El Alfa","El Perrote Wz"
s0605,Rumble,Skrillex,
s0760,"Run This Town",JAY-Z,
s0860,Runaway,"Bon Jovi",
s0041,Runnin,"21 Savage","Metro Boomin"
s0782,"Runnin Down A Dream","Tom Petty",
s0891,"Runnin’ Outta Moonlight","Randy Houser",
s0168,Rush,"Ayra Starr",
s0573,Sabotage,"Beastie Boys",
s0854,"Sad But True",Metallica,
s0190,"Safari Song","Greta Van Fleet",
s0080,"Safe and Sound - ZION I Remix",Rebelution,"ZION I"
s0091,"Saint Tropez","Post Malone",
s0442,"Sal Pa La Luz",Bulova,"Starmac Publishing"
s0463,"Salve a San Antonio","Los Congos",
s0184,"Sanctus Real",Confidence,
s0524,Sandstorm,Darude,
s0727,Satisfied,Rebelution,
s0066,"Saxofono Para Musicologos","Don Miguelo",
s0869,"Say It Ain't So",Weezer,
s0754,"Say Yes","Michelle Williams",
s0186,"Search & Rescue",Drake,
s0820,"Secret Crowds",Angels,
s0086,Self-Made,"Bryson Tiller",
s0430,"Separate Ways (Worlds Apart)",Journey,
s0589,"Serial Killa (Instrumental)","Snoop Dogg",
s0196,"Set In Stone","Travis Tritt",
s0127,"Seven Nation Army","The White Stripes",
s0787,"Shake Ya Tailfeather",Nelly,
s0434,"Sharp Dressed Man","ZZ Top",
s0832,"She Had Me at Heads Carolina","Cole Swindell",
s0155,Shine,"Mike Stud",
s0394,"Shots & Squats","Tham Sway",Vigiland
s0692,"Show Me Love","Chance The Rapper",
s0537,"Si Lo Puedes Soñar","Eladio Carrion",
